,miR-10-5p,miR-135ab-5p,miR-218-5p,miR-190-5p,miR-193-3p,miR-33-5p,miR-182-5p,miR-362-5p,miR-23-3p,miR-18-5p,miR-18-3p/7069-3p,miR-194-2-3p/6926-5p/7055-5p,miR-130-3p/301-3p,miR-103-3p/107-3p,miR-205-5p,miR-183-3p,miR-7-5p,miR-423-3p,miR-501-5p,miR-185-5p,miR-423-5p,miR-26-5p,miR-147-3p,miR-484,miR-378-3p,miR-22-3p,miR-652-3p,miR-374b-5p,miR-210-3p,miR-194-5p,miR-192-5p/215-5p,miR-196-5p,miR-324-3p,miR-27-3p,miR-141-3p,miR-1198-5p,miR-19-3p,miR-183-5p,let-7-5p/miR-98-5p,miR-200-3p/429-3p,miR-3081-3p,miR-125ab-5p/351-5p,miR-28-3p,miR-181-5p,miR-151-3p,miR-24-3p,miR-96-5p,miR-186-5p,miR-425-5p/489-3p,miR-17-5p/20-5p/93-5p/106-5p,miR-21ac-5p,miR-15-5p/16-5p/195-5p/322-5p/497-5p,miR-25-3p/32-5p/92-3p/363-3p/367-3p,miR-141-5p/6769b-3p,miR-16-1-3p,miR-200ab-5p,miR-191-5p,miR-221-3p/222-3p,miR-139-5p,miR-140-5p,miR-139-3p,miR-30-5p/384-5p,miR-340-5p,miR-181a-1-3p/181c-3p,miR-34-5p/449-5p,miR-106-3p,miR-671-5p,miR-30a-3p/30d-3p/30e-3p,miR-29-3p,miR-345-5p,miR-328-3p,miR-361-5p,let-7d-3p,miR-375-3p,miR-148-3p/152-3p,miR-153-3p,miR-146ab-5p,miR-31-5p,miR-132-3p/212-3p,miR-99-5p/100-5p,miR-28-5p/708-5p
10,GOLM1,SGK1,NACC1,SUB1,SREBF2,KRT20,VLDLR,EPHB3,ATXN7L3B,SLC12A6,BSG,MCFD2,SIGMAR1,RNF19A,DDAH1,MT-RNR1,SOCS4,UBAP2L,PHLDB2,EMC10,CABLES2,TOB1,BTG2,DLST,TIA1,AXIN2,TTC39A,TNRC6A,HMGCS2,TCP11L2,PLEKHB2,HOXA7,SH2B1,ZBTB39,ELMSAN1,ITGA6,FAM83G,VDAC1,DCAF8,ATP1B1,ARHGEF7,TXNIP,EMP1,THRA,AP1B1,TAB2,PNPLA8,PVRL2,SDHA,UHMK1,TMEM236,MICU1,MIA3,RAET1E,TMTC2,DAAM1,ATP2A2,MTMR12,ETNK1,TSPAN14,APP,SLC36A1,PON2,MRPL36,GSTO1,TENM4,TMEM164,SMIM12,EPB41L2,RPS10,ARID4B,MYH9,,AFF4,DTNBP1,SRC,MLF2,SSFA2,GRHL2,,GSTA4
11,TRIOBP,SLC25A16,GNAI2,STX17,PTK2,CSNK1D,KDM2A,MDC1,MYL6,SDC4,ANKRD52,PPP1R14B,PARK7,EXT1,AK4,MT-TS2,SLMAP,ACTB,SRRM2,TGFBR2,ZNF687,WWC1,CAPN2,ADAM17,POLD3,TUG1,DDI2,IRF2BP2,NRD1,UTRN,CNNM4,GCLC,SEPT2,ANKRD52,ENC1,ZCCHC7,RNF167,PNPO,PIGM,SMPDL3A,,DRAM2,EIF4G2,SYNGR2,SLFN5,APPL2,XRCC4,WDR82,MFSD5,SMYD3,SERINC3,CDK17,DNAJB12,ABRACL,POLR3G,H1F0,TJP1,OSMR,YBX3,MGAT3,TAP1,PITPNA,HOXA10,RPL11,DPP3,ARL2BP,ATP1B1,RPLP0,TSPAN8,HLA-E,KIF13B,EIF4A2,,FNIP1,TEP1,DDAH1,FUS,FASTKD5,MARCH6,,BTG2
12,SLC38A1,AKAP7,MT-ND2,PTBP3,IFNGR2,DAAM1,EIF3A,INTS1,FBXO48,PHC3,DDIT4,FBLIM1,FOSL2,AGO2,HS3ST1,MAOA,SLC38A2,CLPX,EZR,PIGR,RERE,SEC24A,REXO1,ROR2,DUSP7,SPTBN1,GCN1L1,PPP2R3A,ADAM10,NEDD1,MGAT4A,ALAS1,AKT3,AGPAT3,F2RL1,CPEB2,NARF,ADAMDEC1,PARP1,UHRF1BP1L,,AHCYL1,,TAOK1,AXIN2,MPRIP,ANXA11,MT-CO1,SBF1,NVL,ZNF217,METTL1,HCN2,IRF1,NGLY1,AGPAT4,HACD3,GNA14,KAT6A,RNF19A,YWHAB,AP2B1,TNKS,AKAP13,MBD5,,HCN2,HS3ST1,PAN2,TNFAIP8,TSPAN14,FEM1C,,MPRIP,EIF4B,SH3GLB1,MEF2A,SPATA2,PLEC,,PTBP1
13,PDIA3,SEPT10,ATP2A3,ICK,TCF4,SUSD6,DHRS9,TES,IRF1,GIGYF1,CLDN7,CD38,KLF3,HIC2,EDEM1,ZDHHC17,SLC44A4,TNFRSF11A,ST6GALNAC6,NVL,FAM214B,UBE2B,NCLN,ZNF219,SUV39H1,SDC1,NUP205,ANKRD44,YIPF6,CLINT1,ANKRD44,FLNA,BSG,MKNK2,PTPRG,CORO1C,IGFBP3,ADCY6,NCOA2,CDK17,,TSPAN1,,KPNB1,ARF3,SPECC1,ARFGAP3,FHL1,RPL7L1,VASH2,SPG20,ANKRD52,KITLG,SPTBN1,AKAP11,PLPP3,TSC22D3,MAN1A2,PRKX,SLC38A2,CDH17,NMT1,CAB39,KLF13,LGR4,,MNT,LCORL,ANKRD52,EHMT1,H1F0,MALL,,PITPNA,SIK1,AKNA,DPY19L1,STK40,SCAF4,,SPECC1
14,FERMT1,ALKBH5,SQSTM1,MT-ND4,PSD4,HMGCR,TP53INP2,IFI30,XAF1,CREBL2,AP2B1,CMAS,ARPC1A,CXADR,SAA1,NARF,STRN,NCF2,UBR3,ZWINT,BTBD19,VMP1,HUS1,ADAMDEC1,HDLBP,PSMA6,CD9,ATP10B,PPP1R15B,DDX52,XPOT,IMP4,ANKRD52,TMTC2,MTMR6,TRIM6,NPM1,MAPK1,SEMA4C,PEX7,,ALDH1L1,,ASXL2,FNDC1,CLUH,ADCY6,AMOT,VPS13A,MAP3K5,GBP5,MYB,PDXK,TTC1,IL10RB,WNK1,PPP1R15B,ATP1A1,LYZ,FSTL1,UBR4,RASD1,PPP1R15B,,POGZ,,NARF,GTF2H1,PEX7,RBMS1,PLA2G6,FZD1,,SEC24A,ATG12,CALD1,IMP4,RBBP4,BRWD1,,BCAS3
15,FOSL2,SLC25A10,DLST,,SYS1,VPS28,TPD52,CIAPIN1,TOB1,GPRC5A,TRIM25,RNF181,SOWAHB,TMEM173,KMT2A,DDX5,SLC12A2,NMT1,COPS2,SYDE1,CLDN4,PRPF39,HNRNPAB,ACVR1B,REEP3,HIST1H1E,RPS3,CCDC47,IVNS1ABP,NBR1,MYO1C,COL3A1,RNF145,TBK1,UCHL3,RASSF3,CLTC,ABCG1,ACADL,AIM1,,SERTAD3,,SYPL1,HNF4A,MNT,CBLB,TRIP12,SRSF10,SMPDL3A,PUM1,PDXK,PIAS4,MED1,AMMECR1L,CDH1,PIGM,TP53INP1,STK10,SIK1,EPHA2,TAOK1,INO80D,,METAP1,,COX10,FBXL19,FOXO3,TGM2,LIPH,FOXP1,,ITGA3,HOGA1,GPRC5A,NOP58,GIGYF1,ZNF516,,COG1
16,TRIM6,MDH1,KLF6,,C1GALT1,IGSF5,RSRP1,REEP3,GRN,DUSP16,SYNGR2,SIPA1L3,OSBPL3,SYVN1,FANCB,FAM8A1,DNAJC10,DDX17,ATP1A1,AFTPH,TMC4,ADAM17,RREB1,TMPRSS2,DCAF7,RNF31,PDDC1,ALG10B,WDR12,SYNGR2,RSAD2,VIL1,PITPNA,CPEB4,ZFR,ACACA,GDI2,RPL17,DNPEP,REEP3,,CLASRP,,ARL15,MTFR1,SDF2,SLC25A1,ATP1B1,PROM1,HERC4,RPA2,XPOT,MDM2,LAPTM4A,EGR1,AFF4,FZD5,SDAD1,ZNF652,CUL2,EIF2AK1,NPEPPS,NPM1,,DOCK7,,SUSD6,CASP3,MORC2,SERINC3,AIRN,RNF111,,ASAP2,CACFD1,SPTY2D1,TMCC3,CLDN4,HBEGF,,MFSD11
17,P2RY6,TTC9,BMPR1A,,KDM3A,CAMKMT,AGO1,GXYLT1,TBCD,IRF2,RASD1,USP3,WNK1,EHMT1,CUL4B,SMAD5,TMEM127,CLDN4,VPS33A,NOTUM,CEACAM1,ERAP1,GCNT2,MLLT4,GPATCH8,PHF20L1,ZNF516,SCAF4,METTL13,SPTBN1,PPP2R5E,AGFG1,MLLT6,ALKBH5,NIPBL,DDX5,GPR137B,PDCD4,PER2,BICC1,,TJP1,,PRKCD,CAPZB,HNF1B,IMPACT,HUS1,ADGRG1,STK11,IMPAD1,CLINT1,RASSF3,MBOAT1,SLC12A2,YWHAZ,NEURL4,DPY19L1,NF2,STARD4,ZNF644,CYB561,PRR11,,NUP54,,SSR1,LONP2,MFAP3,PLEKHF2,TMEM127,REEP3,,HECTD1,RALGAPB,POLD3,KDM6B,AAK1,PPP1R14B,,SDC1
18,SIRT3,PAPOLA,MYCBP2,,BCKDHA,PDLIM1,MOB1B,CLIC1,SPTBN1,VIL1,TOM1L1,LAMP2,FUS,HIPK3,ANP32E,GAREM1,DBNDD2,CD9,SLC35B4,ADAM17,MYH14,FAM120A,B3GALT5,TMEM8A,ADAMDEC1,TEF,GBF1,SLC20A1,ITGA3,C1QBP,MRS2,B3GNT7,CDK12,NEURL4,LPP,GCNT2,ATXN7,PDZD8,PFKFB2,SYDE1,,GPA33,,CBX7,XKR8,MYO19,AHNAK,FAM8A1,GNAI2,MIDN,NFIB,MNT,FNIP1,GMDS,HPS6,ABHD17B,RAPGEFL1,EIF1AX,KDM6B,SPRED1,FBRSL1,SOCS3,SOCS3,,OAS3,,FAM120A,GALNT7,MIEF2,YTHDF2,SGMS2,APAF1,,GOLM1,INO80,MMP7,PLK2,KLF13,VPS16,,DYNC1H1
19,SMARCA4,RB1,MAN2A1,,BCAR1,GPCPD1,PARM1,TTC7A,ABR,GAS5,KLF6,RDH10,H19,CA2,GAS5,A1CF,RBM17,KEAP1,RET,MGAT3,TFDP1,KIF13B,DUOX2,AHNAK,MYH9,ARID2,EDEM1,CPNE1,KRT20,TTC9,UBQLN1,LRRFIP1,MRPL12,LASP1,IFNGR2,CCNT1,FAM3D,TOR2A,MFSD4,NFYB,,BTG2,,ZFAND3,GRPEL1,NBR1,STAMBPL1,PSMB1,MT-CO1,ZBTB7A,KLF3,AP2B1,PITPNA,HMGCR,BCL2L11,TIFA,HUS1,PLEKHB2,ACLY,HNF4G,CHD4,CANT1,FAM208A,,GPRC5A,,LY6E,MCTS1,TMEM98,CCND2,METAP1,RNF213,,FCHO2,TRPM7,IGDCC4,HMGCS1,MEF2A,MEX3A,,RHOB
20,HUWE1,SELO,STRN,,WDR82,FERMT1,RAD9B,HNF4A,DHRS11,INO80D,MARVELD2,ATG16L1,CDK16,MEF2D,GPA33,ZDHHC13,RBMS1,HUWE1,ATE1,ADCY6,PHF3,PRKCD,PSMB4,SLC3A2,TOMM70A,PABPC1,,DRAM2,ACOX1,ADAM17,LMO7,PPP1R15B,FASN,CCDC137,MORC3,ETF1,RNF139,SPRED1,MDM4,NEDD1,,IRF1,,KANK1,RASSF6,ASPSCR1,TCF7L2,MALL,ATP1B1,TMCC3,LMTK2,COX11,TOB1,PTCD2,ZNF106,RNF6,ZCCHC6,PPP1R15B,FOS,ID3,EMP1,CCDC71L,MAL2,,EMP1,,FBXO32,PTP4A1,MBTD1,ZDHHC13,UBR4,AFTPH,,TNPO1,STAU1,GLCE,NDUFS8,GTF3C1,FAM160A1,,MIER3
21,PPP1R15B,NIPBL,DNMBP,,CDC25A,ERP29,VPS33A,MMADHC,GPATCH8,SLC25A16,TMEM55B,SLC19A2,HPRT1,SDCBP,UBE2G2,KAT6A,TMEM230,,USP9X,MAPK1,BTG2,PIM3,PPFIA1,NDUFB8,KALRN,YWHAZ,,GBP7,NET1,STON2,CTNNA1,ADIPOR1,ARRDC3,MAP2K4,GATA6,DNMBP,CARD10,TXNIP,POU2F1,RAP1B,,MAP2K3,,CCNJ,CORO1C,LIMK2,LGR4,CSDE1,PURB,STXBP5,CLOCK,FKBP10,ATP6V0A1,NGLY1,RAPGEF2,,RNF139,CCM2,GREB1,RPS6KA1,ANKS4B,ARHGAP5,PCBP2,,KLK1,,TSHZ1,COL5A2,COL1A1,CCND1,KDELR1,TOP2A,,ABHD4,S100A11,FOXO3,PRPF40A,IL34,SRSF9,,TSPAN14
22,GSPT1,PABPC1,CLP1,,COL3A1,LRWD1,TAX1BP1,KIF1B,WBP2,TNFAIP3,CHMP7,DOT1L,ATG16L1,CPNE3,PCMT1,ZFP1,PTGFRN,,REEP3,HES1,PRDX6,ARID2,USP10,TOR2A,FKBP5,RPS19BP1,,FNDC3B,PHF20L1,TRIP11,SLC26A2,KIF21B,HNRNPA1,SUPT6H,STARD4,FERMT1,CBX7,CSDE1,HIVEP2,CPEB4,,TOM1L1,,RIN2,TRIM28,STC2,ST8SIA6,MAML3,MAT2B,GDF11,TPCN1,DCAF7,RNF213,FAM3D,STEAP4,,MIB1,STK10,KLHL28,ADAMTS17,TNRC6A,RCOR1,BRD2,,MTUS1,,CDK2AP2,TRIP12,THRA,PLS1,CEACAM1,RNF44,,KLF5,NRAS,ACVR1B,ZNF697,SRPR,CCSER1,,MYCBP2
23,ATG2A,TCF20,RAP1GDS1,,NRP2,CCSER1,MYADM,BHLHE40,DCXR,LIF,TOMM22,NCLN,TFCP2L1,NRBP1,MYL6,TAF1D,ATP1A1,,GXYLT1,DYRK1A,ANKRD52,SLC38A2,PIGR,STXBP1,BTBD9,SMAGP,,FOXP1,NOL12,HIST1H4B,MBD5,DCAF8,LMBR1L,APPBP2,TRIM36,MEF2D,RHEBL1,S100A1,RAET1E,ATP10B,,CLMN,,ENTPD6,FOSB,TMEM102,PPM1L,RAP1A,EDN1,EIF4ENIF1,MAT2A,SLC16A5,MAP2K4,SLMAP,PROM1,,B4GALT6,HINT1,DICER1,ATE1,VIPR1,RHOB,AQP4,,ALAS1,,FAM102A,BTG2,RAPGEFL1,MT-TM,CCND1,DERL1,,BMPR1A,SNX27,PKDCC,SMIM12,HYAL2,FCGBP,,NIPBL
24,PTPRJ,LMBR1L,TMEM59,,DCAF8,CD81,CTTN,CMAS,WDR35,LASP1,SMARCD1,XAF1,RAB3GAP1,GRPEL1,GNB2L1,RNF111,SLC44A1,,TTC7A,MALAT1,UNC5B,ARF3,SLC5A8,NR6A1,ATG2A,EIF4G1,,ARL2BP,TRIOBP,WDR37,ZSWIM3,AIM2,CCNY,NPEPPS,SEMA6A,PREB,SPRYD3,SLC35A1,FRK,MPRIP,,LARP4B,,NR6A1,INSR,LGALS9,DDAH1,ARPC4,HLA-DRB5,LIF,DUSP8,ITGB4,GGNBP2,FAM160B2,SUCLG1,,PCNXL3,ZNF652,ARL10,CCND1,,SEC23A,PDLIM1,,RDH10,,ENTPD6,NUDT4,RPTOR,SEC63,MGAT5,HES1,,GSDMD,SMIM12,PVRL2,TXN,APOOL,HGSNAT,,TRAPPC9
25,KLF4,ZBTB11,TMEM165,,INO80D,ALDH1A3,TSNAX,FZD4,ADI1,WBP2,NDRG1,ZZEF1,DCAF8,SEL1L3,HINT1,,DHCR24,,DLL1,TRPM7,SCRN2,USP25,SLC36A1,DUOX2,OSBPL2,TOMM70A,,PTP4A1,DIP2B,GMDS,EHMT1,MGAT4A,HSPA9,GOSR2,ATRNL1,CTSD,EPHB3,NUDT19,DCBLD1,TSR1,,GOLM1,,CCNA2,PRKCSH,APPBP2,GNAI3,HNRNPF,MATR3,FBXO48,GTF2E2,UBALD2,KLHL11,GTPBP1,SUV420H2,,C10orf76,SEC23A,UBQLN1,NLRC5,,MBOAT1,SECISBP2L,,MDM4,,CD82,HNF1B,NARF,OAZ1,HSPD1,SLC35A1,,RACGAP1,UBR4,GOLGA7,TSPAN1,XIST,DDX6,,EPPK1
